Column1,timestamp_start,timestamp_end,name,artist,uri,genre,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,EDA,HR,TEMP
0,1637324165,1637324181,"Concerto for Violin & Orchestra in D Major, K.218: III. Allegro ma non troppo",Ryo Terakado,spotify:track:0elrjZcK2C0pOQB8dMiT7g,japanese concert band,0.319,0.0483,2,-24.36,1,0.0453,0.931,0.0535,0.081,0.238,82.066,3,-0.001361329,-0.594779768,0.027506065
1,1637324197,1637324212,Unknown,Unknown,spotify:track:1sY7irvG4TIr0g2gyHuZ1y,dong yo,0.446,0.427,8,-5.975,1,0.026,0.653,0.00000223,0.327,0.823,87.626,3,3.95802E-05,2.68524998,-0.02121412
2,1637324228,1637324243,Borracho y Loco,Preston Garza,spotify:track:0XE54Epzr1g6Aq6QR7aV9O,new mexico music,0.69,0.46,11,-7.307,0,0.0478,0.433,0.00000439,0.0789,0.598,80.223,4,0.000688406,0.813244043,0.003301713
3,1637324258,1637324274,"The Road, The Rocks and the Weeds: Stabal Session - Live",John Mark McMillan,spotify:track:4aM25hBqAgFvX1aFzkX1Bu,christian rock,0.296,0.572,4,-7.802,1,0.0351,0.575,0.00621,0.682,0.355,83.587,4,0.000880824,-2.348093232,-0.009450046
4,1637324289,1637324304,Rock and Roll Thugs,Icon For Hire,spotify:track:22UYBdXRZ7AyOfgkEFNURW,slayer,0.42,0.953,6,-4.669,0,0.294,0.000831,0,0.29,0.359,166.987,4,0.001152251,-0.038065477,-0.004221945
5,1637324320,1637324335,Bury Your Idols,Hot Water Music,spotify:track:2Cw5dkkkw6c7dOZ7PnqFbT,orgcore,0.483,0.938,4,-3.774,1,0.0485,0.0233,0.00000117,0.176,0.678,144.852,4,0.003726795,-0.278218255,0.003851667
6,1637324350,1637324366,That's the Way Love Is - [Deep House Mix] [Extended Version],Ten City,spotify:track:44Txpta4sxFmw53pOSpuNV,deep deep house,0.703,0.541,7,-18.39,1,0.0469,0.0515,0.274,0.113,0.961,119.732,4,-0.004959011,-0.191250001,-0.005302778
7,1637324381,1637324396,Mujeres y Metales,Denilson,spotify:track:0I2FQ0Vh4QXYAFdEpKplal,mexican metal,0.54,0.787,5,-8.272,0,0.215,0.0855,0.0000111,0.0815,0.402,111.675,5,0.000314084,0.66991667,0.012429398
8,1637324412,1637324427,I'm a Warrior (Live),Rob Rock,spotify:track:5HKC57QiOYGspyCBAUpmrc,christian metal,0.37,0.902,5,-5.005,0,0.0878,0.000194,0.00227,0.964,0.464,134.191,4,0.00022202,1.410204371,-0.010026528
9,1637324442,1637324457,Want U Back,Cher Lloyd,spotify:track:2rVBSS7cfDF2ZJF0my4e6j,show tunes,0.696,0.893,9,-2.963,1,0.076,0.0662,0,0.473,0.573,97.954,4,-0.001565465,-0.378958322,-0.000365833
10,1637324473,1637324488,Immer noch kein Rapper,18 Karat,spotify:track:76h4DtPr32zGTjMyRAUbX9,underground rap,0.585,0.69,1,-5.144,1,0.408,0.192,0,0.11,0.382,97.531,4,0.000137041,-1.224880948,0.002810787
11,1637324503,1637324519,Asian Feeling,Thierry David,spotify:track:1BzDq8KlS5rp51Hxa39ggM,world fusion,0.405,0.448,1,-10.387,1,0.0335,0.265,0.949,0.123,0.0899,147.906,4,8.57242E-05,0.677073411,0.00938713
12,1637324534,1637324549,Tudo ? Festa (Dennis 2007),MC Marcinho,spotify:track:0ESHoD1OE2sfhKstm1Pq1K,funk das antigas,0.946,0.789,6,-5.461,0,0.0613,0.126,0,0.327,0.962,130.026,4,0.000655072,-0.033244047,0.002333889
13,1637324565,1637324580,So Cruel - Original Mix,Marga Sol,spotify:track:1tm7XgyF5hvLUyY9lJqx5C,deep ambient,0.576,0.531,0,-7.568,1,0.0273,0.00384,0.269,0.112,0.26,149.916,4,0.000835576,-0.575500009,0.003791667
14,1637324596,1637324611,I am Love,Tearliner,spotify:track:5ZG3ciyuEnQsUyQJCnnca8,korean trap,0.539,0.346,11,-10.144,0,0.039,0.844,0.000009,0.156,0.129,120.393,5,0.000734053,0.016162698,-0.001714676
15,1637324626,1637324642,A Rainy Night in Soho,Damien Dempsey,spotify:track:2zI913vXyuifdBuufySnqn,irish rock,0.267,0.404,4,-8.26,1,0.0293,0.35,0.0000641,0.231,0.347,148.912,3,0.002072424,0.578716257,-0.018121667
16,1637324657,1637324672,Pack Up the Louie (Caravan Palace Remix),Caro Emerald,spotify:track:1LE1Pl0RKdGcsrBfXeq4Qj,electro swing,0.793,0.875,10,-3.519,1,0.223,0.51,0.0000431,0.0918,0.605,116.025,4,0.000200304,1.488730163,-0.011761343
17,1637324688,1637324703,T?xico Industrial (En Vivo),Transmetal,spotify:track:10g0evovOdpx28tWRnbXxK,death industrial,0.249,0.993,6,-4.649,1,0.196,0.0168,0.84,0.795,0.087,120.584,4,-0.00084761,-1.388214284,0.007076667
18,1637324719,1637324734,Oplosan,Trio Macan,spotify:track:0wNkkZoGyYy20FOVtH6dPn,batak,0.593,0.955,9,-3.455,0,0.0406,0.152,0.000595,0.195,0.65,92.53,4,0.001464319,-0.37236111,-0.002209491
19,1637324750,1637324765,Above Chiangmai - Remastered 2004,Brian Eno,spotify:track:0ycQOJSAh2HXg1DaKLGoRX,experimental ambient,0.239,0.00371,1,-34.16,0,0.0494,0.996,0.907,0.132,0.07,132.223,4,0.000586549,1.247152779,0.011135092
20,1637324780,1637324795,Prelude and Fugue in E Minor,Aarre Merikanto,spotify:track:6c1nHGsIlhQLqGTpjvEdYN,finnish classical,0.0644,0.206,4,-13.953,0,0.0346,0.715,0.936,0.126,0.0585,71.254,4,0.000565028,-0.611845239,0.002159861
21,1637324811,1637324826,Cantos A Caracas,Sim?n D?az con La Rondalla Venezolana,spotify:track:7fzk1fYqi22ZOQ7D2LQjgJ,folklore venezolano,0.584,0.436,7,-13.753,1,0.035,0.753,0,0.125,0.846,161.207,3,-0.000408737,0.005982142,-0.007548472
22,1637324841,1637324856,3 Greek Sketches: I. Palaiogenes,Kostas Hatzopoulos,spotify:track:2QImuRT2gQmJCCywJzw29R,greek guitar,0.424,0.142,2,-20.638,0,0.0604,0.988,0.956,0.134,0.889,73.846,4,0.001641425,0.419791667,-0.002496111
23,1637324872,1637324887,Oprosti mi stare grehe,Miki Gajic,spotify:track:3WT8gsaAhUQJgHv9KXUN8d,narodna muzika,0.355,0.684,5,-4.916,1,0.0484,0.365,0,0.0837,0.73,157.597,4,0.000265791,0.021333329,0.000358796
24,1637324902,1637324918,Hip-Hop En Bruto,Nerviozzo,spotify:track:0sZXSJrLcbKl1qss8ZfZ5G,spanish hip hop,0.829,0.556,8,-14.519,0,0.457,0.0592,0,0.0813,0.606,82.069,4,0.001158666,-0.128390866,-0.000780972
25,1637324933,1637324948,B?nk i d?Luft,Stubete G?ng,spotify:track:0oVosQlxfyB8s21p96tQx3,mundart,0.655,0.815,11,-4.685,1,0.208,0.153,0,0.31,0.807,166.022,4,-0.000190263,-0.191458327,0.009302361
26,1637324964,1637324979,How Soon Is Now?,The Smiths,spotify:track:3mqCg2gGcuqGXKnyXwuxCw,madchester,0.414,0.942,11,-7.511,1,0.121,0.00106,0.0274,0.122,0.228,190.991,4,-0.001346874,0.151501978,0.001544769
27,1637324994,1637325009,La ?eca - Instrumental,Pedro Laza Y Sus Pelayeros,spotify:track:6FbA78DWNPIXAZd8kuy4Is,porro,0.672,0.59,6,-9.686,1,0.0911,0.0815,0.478,0.164,0.948,92.574,4,0.001048364,-0.701875,0.001199167
28,1637325025,1637325040,Livre pra Sonhar / Frasco Pequeno / Vem pra Mim / Ser? Que ? Amor - Ao Vivo,Encontro de Batuqueiros,spotify:track:5YGx1aIG4ebFS7b78kvIHU,modern samba,0.44,0.717,9,-8.169,1,0.0366,0.601,0.00000943,0.385,0.896,95.919,4,0.005206407,-0.557531746,-0.009374491
29,1637325055,1637325071,Unheil,Ron Ractive,spotify:track:7qQjKQdYBhHOwrhoPUNHkV,ghoststep,0.792,0.403,2,-16.522,1,0.0641,0.00525,0.875,0.101,0.546,119.973,4,0.000141315,0.740263912,-0.002247639
30,1637325086,1637325101,What The Stars See (feat. Karen Fairchild & Lindsay Ell),Cassadee Pope,spotify:track:76chhJiVuMIdu3Ppx6EYXa,country pop,0.45,0.932,7,-2.289,1,0.073,0.00121,0,0.258,0.671,158.097,4,-0.000341663,1.028005958,-0.006530694
31,1637325117,1637325132,Find My Way Out,The Bluesbones,spotify:track:0eB77vNCM4jY3MIhshFjIp,belgian blues,0.473,0.642,4,-8.957,0,0.0435,0.000989,0.0516,0.0514,0.832,158.038,4,0.001854251,-0.501553578,0.010040463
32,1637325147,1637325162,Satanic Black Metal in Hell,Urgehal,spotify:track:3cHVTCXR5vQqLihkWOKpWE,pagan black metal,0.283,0.95,1,-6.239,0,0.0841,0,0.0104,0.0675,0.107,116.743,4,0.000630145,-0.460922624,-0.008843889
33,1637325177,1637325193,Where U Hang,Drilla,spotify:track:3iNl5VkeQBAK2hT2cs5PVg,chicago drill,0.846,0.625,2,-7.241,1,0.349,0.551,0,0.357,0.646,160.96,4,0.001181586,0.745297614,-0.008843889
34,1637325208,1637325223,Seek and Destroy,Birmingham 6,spotify:track:7ErrlmsbGzubOpCinWgI9n,industrial black metal,0.59,0.993,4,-4.149,0,0.0906,0.0000818,0.782,0.377,0.692,141.975,4,0.003695262,-1.39286111,-0.020400463
35,1637325238,1637325254,Walking On A Dream,Empire of the Sun,spotify:track:5lIxHaCQOIoCFxFZMIOrMs,australian indie,0.866,0.692,5,-5.782,0,0.0459,0.246,0.00000475,0.0884,0.737,126.953,4,-0.000555914,-1.03934524,0.001736805
36,1637325269,1637325284,Amor e F? - Ac?stico,Hungria Hip Hop,spotify:track:4XcWXKMKp53c8OU3HHlxgL,brazilian hip hop,0.632,0.697,4,-7.086,0,0.0377,0.589,0,0.375,0.837,135.961,4,-0.000584441,1.531861113,-0.001591435
37,1637325299,1637325315,Happiness Is Eggshaped,The Seahorses,spotify:track:2AV5kGWijo9L4YLldid51S,york indie,0.452,0.855,2,-6.881,1,0.0353,0.0000692,0.0000976,0.288,0.624,128.446,4,-0.000285011,0.888065475,-0.023954861
38,1637325330,1637325345,Pulanglah Uda Pulanglah Sayang,Fauzana,spotify:track:5gPHO5K6dLQFnQ5gAaVwC5,viral pop,0.521,0.666,3,-4.308,1,0.0282,0.403,0.00000105,0.195,0.403,120.083,4,0.000229344,-1.073333337,-0.000101852
39,1637325361,1637325376,Illumination: The Face of Shamash,Melechesh,spotify:track:2vmYrCkhxRPTWujZN9z6uq,oriental metal,0.412,0.977,2,-5.382,1,0.0693,0.00000828,0.861,0.02,0.31,116.006,4,-0.000161594,-0.759978174,0.009014907
40,1637325391,1637325406,Fermented Offal Discharge,Necrophagist,spotify:track:4AbhXierwGJulyOyyRYK3O,technical death metal,0.303,0.98,10,-4.425,0,0.202,0.00000739,0.584,0.349,0.0857,111.95,4,0.001677404,0.451904766,0.00714625
41,1637325422,1637325437,Something About You - ODESZA Remix,Hayden James,spotify:track:6vjWim6xU6tPjA42GxSp1U,aussietronica,0.705,0.674,11,-8.432,0,0.04,0.0184,0.0149,0.138,0.103,105,4,0.010589942,0.140869048,-0.05912375
42,1637325454,1637325470,Eternal Wind (Arrangement),Terry:D,spotify:track:1MfZkszthtPvkd7bBncuR1,final fantasy,0.546,0.0451,0,-19.022,1,0.0495,0.99,0.926,0.0862,0.0381,90.15,4,-0.00693339,-0.553630948,-0.008870972
43,1637325485,1637325500,Uwielbiam Twoje imie,Vox Eremi,spotify:track:7pcFOcXeXtDpAAXM9k9YNS,uwielbienie,0.265,0.106,0,-10.461,0,0.0318,0.919,0,0.106,0.0856,74.236,3,-0.007963632,3.636388985,-0.005356481
44,1637325515,1637325531,"Souvenir De Florence, Op. 70: IV. Allegro Vivace",Borodin Quartet,spotify:track:6BebarNIdE5FfxXDlPpZ5y,string orchestra,0.407,0.262,2,-17.011,0,0.0546,0.908,0.652,0.0625,0.441,140.629,4,-0.007560647,2.394255961,0.028091111
45,1637325546,1637325561,Ancient Spirit's Sing,Chuck Jonkey / Sonic Safari Productions,spotify:track:70QyxqmlcrW5FboUqMQr9T,singing bowl,0.141,0.00152,4,-36.043,1,0.0565,0.993,0.97,0.105,0.0304,69.178,4,0.000386834,-3.996130958,0.036254213
46,1637325576,1637325592,When You Wish Upon A Star,Gregory Porter,spotify:track:5O7SbGz8Ds4SmUwPYXAbUT,contemporary jazz,0.327,0.278,2,-10.951,1,0.0308,0.874,0.0000103,0.154,0.176,117.451,4,0.002000064,-1.437440476,0.011481389
47,1637325607,1637325622,Unknown,Unknown,spotify:track:0iDA10hMJudSG6tTmk1OXw,indie viet,0.791,0.598,9,-7,1,0.0465,0.675,0.0000252,0.177,0.194,119.998,4,0.003083851,0.109333337,-0.052159722
48,1637325638,1637325653,Tranceform - Original Mix,Addictive Glance,spotify:track:701GWMf63hvtH8GkbNetuD,glitter trance,0.741,0.76,1,-7.104,1,0.0884,0.000119,0.185,0.254,0.399,130.018,4,-0.001463234,0.49537698,0.004938657
49,1637325668,1637325683,Rave Is Our Religion,Olly James,spotify:track:4JvKkCRqWRbuhQsdUvY68P,deep techno,0.568,0.962,7,-5.616,1,0.13,0.000522,0.182,0.0467,0.151,145.942,4,0.006370165,0.686815462,0.003702778
