name,artist,uri,url,genre,danceability,energy,valence,acousticness
Somebody That I Used To Know,Mayday Parade,spotify:track:6JBX1drGsMrTE8JrAYYoou,,pop punk,0.457,0.939,0.467,0.00391
Packed Up And Took My Mind,Little Milton,spotify:track:01REXWnJoGi8rUc4IbS1EO,,memphis hip hop,0.615,0.483,0.78,0.14
ARE YOU READY FOR THE ACTION ? (Original Mix),Kamasutra,spotify:track:66QALfdFRAsUxFjr9Pihmr,https://p.scdn.co/mp3-preview/9a701648ca56eb171a980f0fd436609c6b0d976f?cid=044f973e13634ba3becdcb523d0f964f,acid techno,0.637,0.946,0.123,0.000701
Official,Anthony David,spotify:track:35MglOYNRoN3UAVT1EfFxi,https://p.scdn.co/mp3-preview/aaa10729903f7a8d069f1dbb99570a9ae854468a?cid=044f973e13634ba3becdcb523d0f964f,urban contemporary,0.697,0.663,0.636,0.0292
I Need You Christmas,Jonas Brothers,spotify:track:5mmV0OX5klDs7TzNo6nDCi,,post teen pop,0.359,0.497,0.169,0.637
Yay Area,E-40,spotify:track:57huinf47VQubq3rOv9auu,https://p.scdn.co/mp3-preview/ec802aee7aaa6f0bba145759d110afec344056eb?cid=044f973e13634ba3becdcb523d0f964f,cali rap,0.559,0.705,0.618,0.0332
"Coronation Ode, Op. 44: III. Britain, ask of thyself (Bass, Chorus)",Edward Elgar,spotify:track:66Umo3UM4F2QT8NNR65FV2,https://p.scdn.co/mp3-preview/468eb3ace00adc171d6ad7a05678aea029aa9dd6?cid=044f973e13634ba3becdcb523d0f964f,victorian britain,0.303,0.283,0.294,0.96
Unholy Intercourse,Deathening,spotify:track:0WkqxGWNBeqpezfUL1GzKO,https://p.scdn.co/mp3-preview/cda2b5ee8a2072e0d7271c85b691c593291d0c22?cid=044f973e13634ba3becdcb523d0f964f,swedish death metal,0.531,0.963,0.368,0.00115
Anadwo (feat. King Promise),Sarkodie,spotify:track:5y1xgWDqsyrcOY7xrlwakX,https://p.scdn.co/mp3-preview/80554c8c544cc0b9bc0e82baa28552e83d6cb185?cid=044f973e13634ba3becdcb523d0f964f,hiplife,0.577,0.788,0.638,0.372
Out Inner Space,Hinkstep,spotify:track:5cACqcLVCKvpzSxS2yWldW,https://p.scdn.co/mp3-preview/6d33f9f942ceb17e6ef235907257b8c1c5b5cd21?cid=044f973e13634ba3becdcb523d0f964f,ambient psychill,0.594,0.43,0.0582,0.113
"Rust, reinheid en regelmaat",Kruimeltje,spotify:track:0g1W1ECgKO7PY4RcSa9wXd,https://p.scdn.co/mp3-preview/14d640f6fc490b1fe34d4661ce7273db66befb6a?cid=044f973e13634ba3becdcb523d0f964f,dutch musical,0.654,0.576,0.6,0.223
